diseaseLabel,disease,symptomsLabel,symptoms,symptomLabel_NCI,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Parkinson's disease,Q11085,"gait abnormality,hypokinesia,spasticity,tremor","Q1036662,Q117060,Q223907,Q827017",,"(6S)-rotigotine,(S)-(−)-carbidopa monohydrate,(±)-deprenyl,Carbidopa/levodopa,amantadine,apomorphine,biperiden,bromocriptine,budipine,cabergoline,clozapine,droxidopa,entacapone,levodopa,pergolide,pimavanserin,piribedil,pramipexole,rasagiline,rivastigmine,ropinirol,safinamide,tolcapone,trihexyphenidyl,zonisamide","Q219957,Q2211523,Q221361,Q269111,Q28128,Q2991856,Q300989,Q402633,Q409761,Q411887,Q411985,Q413581,Q413840,Q413976,Q414225,Q414914,Q415752,Q416444,Q420590,Q420685,Q421304,Q423308,Q5037862,Q7194603,Q907853", , , , , , ,"PDQ39 questionnaire,magnetic-resonance imaging,positron emission tomography,single-photon emission computed tomography","Q112056597,Q161238,Q208376,Q849737","332,332.0","F02.3,G20",C0030567,D010300,C26845,https://en.wikipedia.org/wiki/Parkinson%27s_disease,long-term degenerative neurological disorder that mainly affects movement,"Parkinson,Parkinson disease,paralysis agitans,parkinsonismus idiopathicus"
hyperthyroidism,Q16499, , ,,"iopanoic acid,methimazole,propylthiouracil","Q1672108,Q377342,Q419663", , , , , , , , ,242.90,E05.9,C0020550,D006980,C3123,https://en.wikipedia.org/wiki/Hyperthyroidism,thyroid gland disease that involves an over Production of thyroid hormone.,"hyperthy Се Матв Сергейейргейreosis,overactive th Мат МакарУльян Кираавей Егорyroid"
Pick disease,Q18576, , ,, , , , , , , , , , ,331.11,G31.01,C0236642,D020774,C85008,https://en.wikipedia.org/wiki/Pick%27s_disease,"rare neurodegenerative disorder, characterized by formation of Pick bodies","Dementia With Lobar Atrophy and Neuronal Cytoplasmic Inclusions,Dementia in Pick's disease,Dementia in Pick's disease (disorder),Pick Disease of the Brain,Pick's disease,Pick's disease，PiD,lobar atrophy of brain,pick disease of brain"
frontotemporal lobar degeneration,Q18579, , ,, , , , , , , , , , , , , ,D057174, ,https://en.wikipedia.org/wiki/Frontotemporal_lobar_degeneration,group of disorders,FTLD
progressive nonfluent aphasia,Q18583, , ,, , , , , , , , , , , ,G31.0,C0751706,D057178, ,https://en.wikipedia.org/wiki/Progressive_nonfluent_aphasia,neurological disorder,"Agramatic variant of PPA,Agramatic variant of primary progressive aphasia,Non-fluent primary progressive aphasia,Non-fluent variant PPA,PNFA,progressive non-fluent aphasia"
frontotemporal dementia,Q18592,"anomic aphasia,behavioral disorder,change,dementia,language disorder,memory disorder,motor disorder,primary progressive aphasia","Q10469820,Q1150070,Q16342771,Q1815366,Q18767,Q3072083,Q567576,Q83030",, , , , , , ,unknown,Q24238356,"autopsy,magnetic-resonance imaging,medical history,neurological diagnostic techniques","Q161238,Q188952,Q41482,Q64830627", ,G31.0,"C0338451,C0520716",D057180,C84719,https://en.wikipedia.org/wiki/Frontotemporal_dementia,medical condition,"FTD,Wilhemsen-Lynch disease,frontotemporal lobar degeneration,multiple system tauopathy with presenile dementia,pallidopontonigral degeneration"
bronchiectasis,Q32778, , ,,"acetylcysteine,tiotropium,tobramycin","Q1758380,Q375613,Q424316", , , , , , , , ,494,"J47,J47.9",C0006267,D001987,C84475,https://en.wikipedia.org/wiki/Bronchiectasis,disorder of respiratory system, 
parathyroid carcinoma,Q40301, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate,Broad Fibrous Bands Formation,Capsular Invasion,Hemosiderin Deposition,Mitotic Activity,Neck Mass,Perineural Invasion,Solid Growth Pattern,Trabecular Pattern,Tumor Vascular Invasion,Malignant Cellular Infiltrate", , , , , , , , , , ,194.1,C75.0,"C0030521,C0153653,C0687150",D010282,"C3313,C4906,C9322",https://en.wikipedia.org/wiki/Parathyroid_carcinoma,endocrine disease,"Malignant Neoplasm of Parathyroid,Malignant Neoplasm of the Parathyroid Gland,Malignant Parathyroid Gland Tumor,Malignant Parathyroid Neoplasm,Malignant Parathyroid Tumor,Malignant Tumor of Parathyroid,Malignant Tumor of the Parathyroid,Malignant Tumor of the Parathyroid Gland,cancer of parathyroid gland,carcinoma of Parathyroid gland,malignant neoplasm of parathyroid gland,malignant neoplasm of the Parathyroid,malignant parathyroid gland neoplasm,malignant tumor of parathyroid gland,malignant tumor of parathyroid gland (disorder),parathyroid gland adenocarcinoma,parathyroid gland cancer"
lung cancer,Q47912,"anorexia,chest pain,cough,dyspnea,fatigue,hemoptysis,weight loss,wheeze","Q188008,Q254327,Q35805,Q517104,Q647099,Q693058,Q718113,Q9690",, , , , ,smoking,Q662860,"air pollution,asbestosis,passive smoking,radon,smoking,tobacco smoking","Q1133,Q131123,Q259516,Q662860,Q664174,Q7212330","biopsy,bronchoscopy,computed tomography,radiography","Q179991,Q237232,Q245341,Q32566","162.3,162.4,162.5,162.8","C34.1,C34.2,C34.3","C0024624,C0153491,C0153492,C0153493", , ,https://en.wikipedia.org/wiki/Lung_cancer,cancer in the lung,"malignant lung tumor,malignant neoplasm of lung"
Creutzfeldt-Jakob disease,Q49989,"dementia,myoclonus","Q116275,Q83030",, , , , , , ,prion,Q47051,"autopsy,electroencephalography,histopathology,magnetic-resonance imaging,medical history,neurological diagnostic techniques,neurological examination","Q1070952,Q161238,Q179965,Q188952,Q2916167,Q41482,Q64830627","046.1,046.19","A81.0,A81.00",C0022336,D007562,C26802,https://en.wikipedia.org/wiki/Creutzfeldt%E2%80%93Jakob_disease,degenerative neurological disorder,"CJD,CJD (Creutzfeldt Jakob disease),Classic Creutzfeldt-Jakob Disease,Creutzfeldt Jacob syndrome,Creutzfeldt Jakob disease,Creutzfeldt-Jacob disease,Creutzfeldt-Jakob Disease,Jakob-Creutzfeldt disease,Subacute spongiform encephalopathy,Transmissible virus dementia,Transmissible virus dementia (disorder)"
pre-eclampsia,Q61335, , ,"Pregnancy Complication,Pregnancy Complication", , , , , , , , , , , ,"O14,O14.9,O14.90",C0032914,D011225,"C34943,C85021",https://en.wikipedia.org/wiki/Pre-eclampsia,hypertension occurring during pregnancy,"Pre-eclampsia,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension,Pre-eclampsia, preeclampsia,gestational hypertension,hypertension induced by pregnancy,pre-eclamptic toxaemia,preeclampsia,preeclampsia/eclampsia,pregnancy associated hypertension,pregnancy toxemia,proteinuric hypertension of pregnancy,toxaemia of pregnancy"
albinism,Q81867, , ,,trioxsalen,Q854263, , , , , , , , , , ,"C0001916,C0333913",D000417,C84543,https://en.wikipedia.org/wiki/Albinism,congenital disorder causing skin to lack pigmentation,"achromasia,achromatosis,achromia,albino"
mastocytosis,Q112670, , ,Monoclonal Cellular Population Present,cromoglicic acid,Q416427, , , , , , , , , ,"D47.09,D89.40,Q82.2",C0024899,D008415,C84269,https://en.wikipedia.org/wiki/Mastocytosis,human disease,mast cell hyperplasia
Wilson disease,Q117121,"blue nails,edema,face of the giant panda sign,jaundice,personality changes","Q133244,Q152234,Q20706838,Q3525894,Q4930124",,"D-penicillamine,triethylenetetramine","Q418386,Q421239",Wilson's temperature syndrome,Q12238717, , ,genetics,Q7162, , , ,"E83.0,E83.01",C0019202,D006527,C84756,https://en.wikipedia.org/wiki/Wilson%27s_disease,multisystem disease due to abnormal accumulation of copper,"Cerebral pseudosclerosis,Cerebral pseudosclerosis (disorder),WD,Westphal pseudosclerosis,Westphal-Strumpell syndrome,Westphal-Strumpell syndrome (disorder),Wilson Disease,Wilson's disease,Wnd,hepatolenticular degeneration"
medullary sponge kidney,Q119280, , ,, , , , , , , , , , ,753.17,Q61.5,C0022681,D007691,C34751,https://en.wikipedia.org/wiki/Medullary_sponge_kidney,congenital disorder of urinary system,"Cacchi Ricci disease,Cacchi-Ricci disease,Cacchi-Ricci syndrome,Cystic dilatation of renal collecting tubes,MSK,Medullary Sponge kidney,Medullary sponge kidney (disorder),Precalicial canalicular ectasia,Precalyceal canalicular ectasia,Sponge kidney,obsolete medullary sponge kidney"
osteochondritis tulaseca,Q127556,necrosis,Q178069,, , , , , , , , , , ,732.7,"M93.2,M93.9","C0029420,C0029421",D010008,"C34877,C34878",https://en.wikipedia.org/wiki/Osteochondritis_dissecans,ischemic bone disease that results in necrosis located in epiphysis,"OCD,osteochondritis dissecans"
febrile seizure,Q127664, , ,,"diazepam,phenobarbital,phenytoin","Q210402,Q407241,Q410400", , , , , , , , ,780.31, ,C0009952,D003294,C116503,https://en.wikipedia.org/wiki/Febrile_seizure,seizure associated with a high body temperature,"febrile convulsion,fever fit"
cataract,Q127724,"diplopia,glare,visual impairment","Q72759,Q737460,Q775940",, , ,Catarata,Q13860369, , ,"diabetes,ichthyosis,rubella,ultraviolet radiation,vitiligo","Q11391,Q12206,Q155857,Q180152,Q523893",eye examination,Q796207,366.8,H26,"C0029531,C0086543,C1510497",D002386,C26713,https://en.wikipedia.org/wiki/Cataract,"clouding of the lens inside the eye, which leads to low vision",cataracts
Norman–Roberts syndrome,Q130555, , ,, , , , , , , , , , , ,Q04.3,C0796089,C537848, ,https://en.wikipedia.org/wiki/Norman%E2%80%93Roberts_syndrome,lissencephaly that has_material_basis_in homozygous mutation in the gene encoding reelin (RELN) on chromosome 7q22.,"LIS2,LISSENCEPHALY 2, LIS2,Lissencephaly 2,Lissencephaly type 2,Microlissencephaly type A,Norman-Roberts syndrome,lissencephaly 2,lissencephaly syndrome, Norman-Roberts type"
hemophilia,Q134003, , ,, , , , , , , , , , , , ,C0684275, ,C3093,https://en.wikipedia.org/wiki/Haemophilia,"Human genetic disease that impairs the body's ability to make blood clots, a process needed to stop bleeding","Haemophilia,Hemophilia (disorder),Hemophilia NOS,haemophilia,hemophiliac,obsolete hemophilia"
cone dystrophy,Q147270, , ,, , , , , , , , , , , , ,C1867326,C566719, ,https://en.wikipedia.org/wiki/Cone_dystrophy,inherited ocular disorder characterized by the loss of cone cells,"Cone Dystrophy, Autosomal Dominant,RCD1,RETINAL CONE DYSTROPHY 1,RETINAL CONE DYSTROPHY 1, RCD1,Retinal Cone Degeneration,retinal cone dystrophy"
Lafora disease,Q163905,hallucination,Q130741,, , , , , , , , , , , ,G40.3,"C0751783,C1850764",D020192,C84804,https://en.wikipedia.org/wiki/Lafora_disease,"type of rare, inherited, severe, progressive myoclonic epilepsy","EPM2,Epilepsy progressive myoclonic  2,Epilepsy, Progressive Myoclonic, 2A,Epilepsy, Progressive Myoclonic, 2B,LD,Lafora Body Disease,Lafora Disease,Lafora Progressive Myoclonic Epilepsy,Lafora body disorder,Lafora disease (disorder),Lafora's disease,MYOCLONIC EPILEPSY OF LAFORA,Melf,PME type 2,Progressive myoclonic epilepsy type 2,Progressive myoclonus epilepsy type 2"
Sertoli cell-only syndrome,Q167050, , ,, , , , , , , , , , ,752.89, ,C1384583,D054331,C168988,https://en.wikipedia.org/wiki/Sertoli_cell-only_syndrome,Human disease,"DEL CASTILLO SYNDROME,Germinal Cell Aplasia,SPERMATOGENIC FAILURE, X-LINKED, 1,SPERMATOGENIC FAILURE, X-LINKED, 1, SPGFX1,SPGFX1,Sertoli Cell-Only Syndrome,Spermatogenic Failure, X-Linked, type 1"
adult Refsum disease,Q177809, , ,, , , , , , , , , , ,"272.8,356.3",G60.1,"C0034960,C2749345",D012035,C85043,https://en.wikipedia.org/wiki/Refsum_disease,Human disease,"Classic Refsum disease,Disorder of cornification 11 (phytanic acid type),Doc 11 (phytanic acid type),HMSN 4,HMSN type IV,HSMN IV,Hereditary Motor and Sensory Neuropathy 4,Hereditary motor and sensory neuropathy type 4,Hereditary sensory and motor neuropathy type 4,Heredopathia atactica polyneuritiformis,Hypertrophic neuropathy of Refsum,Phytanic Acid Oxidase Deficiency,Phytanic-CoA hydroxylase deficiency,REFSUM DISEASE, CLASSIC,Refsum Disease, Adult, 1,Refsum disease,Refsum's disease"
fucosidosis,Q177878, , ,, , , , , , , , , , ,271.8,E77.1,C0016788,D005645,C61274,https://en.wikipedia.org/wiki/Fucosidosis,Human disease,"A-fucosidase deficiency,Alpha-L-Fucosidase deficiency,FUCOSIDOSIS,Fucosidosis (disorder),Lysosomal storage disease caused by defective alpha-L-fucosidase with accumulation of fucose in the tissues,alpha fucosidase deficiency"
melanoma,Q180614, , ,"Malignant Cellular Infiltrate,HMB-45-Positive Neoplastic Cells Present,S-100-Positive Neoplastic Cells Present","Aldesleukin,Peginterferon alfa-2b,Sargramostim,bevacizumab,bleomycin,cobimetinib,dabrafenib,dacarbazine,dactinomycin,docetaxel,hydroxyurea,ipilimumab,lomustine,nivolumab,paclitaxel,pembrolizumab,procarbazine,temozolomide,trametinib,vemurafenib","Q13896859,Q15708292,Q186127,Q20801763,Q212272,Q2459042,Q3011604,Q3950557,Q413299,Q415378,Q415571,Q416975,Q418656,Q420436,Q423111,Q423762,Q425088,Q7041828,Q7160789,Q7833138", , , , , , , , , , ,C0025202,D008545,C3224,https://en.wikipedia.org/wiki/Melanoma,malignant neoplasm originating from melanocytes,"MELANOMA, MALIGNANT,Melanoma,Naevocarcinom,Naevocarcinoma,malignant melanoma"
Holt-Oram syndrome,Q182005, , ,, , , , , , , , , , ,759.89,Q87.2,C0265264,C535326,C125592,https://en.wikipedia.org/wiki/Holt%E2%80%93Oram_syndrome,autosomal dominant disease characterized by congenital anomalies located_in heart and located_in upper limb.,"HOLT-ORAM SYNDROME,HOLT-ORAM SYNDROME, HOS,HOS,Heart-hand syndrome type 1,Hos1,atrio-digital syndrome,atrio-digital syndrome type 1,atriodigital dysplasia,atriodigital dysplasia type 1,heart-hand syndrome"
hepatic vein thrombosis,Q183098, , ,, , , , , , , , , , ,453.0,I82.0,"C0019154,C0856761",D006502, ,https://en.wikipedia.org/wiki/Budd%E2%80%93Chiari_syndrome,Human disease,Budd-Chiari syndrome
lymphangiomatosis,Q183390, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Lymphangiomatosis,rare disease,generalized lymphatic anomaly
rickets,Q183392, , ,,"calcitriol,ergocalciferol","Q139195,Q139200",Krzywica,Q3200070, , , , , , ,268.0,E55.0,"C0035579,C0221468",D012279,C26878,https://en.wikipedia.org/wiki/Rickets,human disease,"active rickets,rachitis,vitamin D hydroxylation-deficient rickets,vitamin D-dependent rickets"
sickle-cell disease,Q185034, , ,,sodium phenylbutyrate,Q7553358, , , , , , , , ,"282.6,282.60,282.63","D57,D57.0,D57.1,D57.2,D57.20,D57.3,D57.8","C0002895,C0019034",D000755,"C34383,C34676",https://en.wikipedia.org/wiki/Sickle_cell_disease,type of hereditary blood disorder,"Anemia, Sickle Cell,SCA,SCD,Sickle cell anemia,فقر الدم المنجلي,لنبتلنميل,مرض Hb SC,مرض Hb-S / Hb-C,مرض Hb-SS بدون أزمة,مرض الخلايا المنجلية / Hb-C بدون أزمة,مرض الهيموجلوبين S بدون أزمة,مرض الهيموغلوبين S بدون أزمة (اضطراب),مرض الهيموغلوبين SC,مرض فقر الدم المنجلي,ندرة الخلايا"
stuttering,Q186676, , ,, , , , , , , , , , , ,F80.81,"C0038131,C0038506,C0454542,C0751527,C0751528,C0751529,C3489627",D013342,C35043,https://en.wikipedia.org/wiki/Stuttering,speech disorder,"Stammering symptom,Stutter,childhood‒onset fluency disorder,familial persistent stuttering,stammering"
Li-Fraumeni syndrome,Q187542, , ,Hereditary Lesion, , , , , , , , , , ,V84.01,D48.9,C0085390,D016864,C3476,https://en.wikipedia.org/wiki/Li%E2%80%93Fraumeni_syndrome,"autosomal dominant disease characterized by increased risk of developing several types of cancer, including breast cancer, osteosarcomata and soft tissue sarcomata","Li-Fraumeni,Li-Fraumeni Familial Cancer Susceptibility Syndrome,Li-Fraumeni Familiar cancer Susceptibility syndrome,Li-Fraumeni Syndrome,Li–Fraumeni syndrome,SBLA syndrome,sarcoma, breast, leukaemia and adrenal gland syndrome"
Zellweger syndrome,Q189167, , ,, , , , , , , , , , , ,"E71.510,Q87.8",C0043459,D015211,C85239,https://en.wikipedia.org/wiki/Zellweger_syndrome,congenital disorder of nervous system,"ZS,cerebrohepatorenal syndrome,congenital iron overload,peroxisome biogenesis disorder"
acromegaly,Q189580, , ,,"Pegvisomant,bromocriptine,octreotide","Q409697,Q413581,Q419935", , , , , , , , , , ,C0001206,D000172,C84533,https://en.wikipedia.org/wiki/Acromegaly,Human disease / micro cephaly opposite,"Acromegalia,Acromegalic,Gigacromegaly,Growth hormone excess,Growth hormone-secreting pituitary adenoma,Pseudoacromegaly"
cerebral salt-wasting syndrome,Q190454,hyponatremia,Q824292,, , , , , , , , , , , , ,C0241831, , ,https://en.wikipedia.org/wiki/Cerebral_salt-wasting_syndrome,rare disease, 
Huntington's disease,Q190564,"choreatic disease,dementia,personality changes,weight loss","Q1076421,Q3525894,Q718113,Q83030",,"(RS)-baclofen,perphenazine,pimozide,tetrabenazine,ubidecarenone","Q144085,Q321285,Q413050,Q413717,Q423520", , , , ,trinucleotide repeat expansion,Q6736610,genetic testing,Q285223,333.4,G10,C0020179,D006816,C82342,https://en.wikipedia.org/wiki/Huntington%27s_disease,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia","HD,HUNTINGTON DISEASE, HD,Huntington Chorea,Huntington's chorea,Huntington's disease,Huntington’s disease"
Tourette syndrome,Q191779,tic,Q738538,,"aripiprazole,clonidine,haloperidol,mecamylamine,pergolide,perphenazine,pimozide,risperidone,tetrabenazine,ziprasidone","Q144085,Q205517,Q251347,Q3332124,Q411188,Q412221,Q412443,Q413050,Q415752,Q423520", , ,smoking,Q662860, , , , ,307.23,F95.2,"C0040517,C1392622",D005879,C35078,https://en.wikipedia.org/wiki/Tourette_syndrome,neurodevelopmental condition,"Chronic Motor Tics,GTS,Gilles de la Tourette syndrome,Guinon's disease,Tourette Disorder,Tourette's syndrome,motor-verbal tic disorder,psychogenic tics"
hydrocephalus,Q193003, , ,, , ,hypocephalus,Q20679073, , , , , , , ,"G91,G91.9",C0020255,D006849,C3111,https://en.wikipedia.org/wiki/Hydrocephalus,disorder characterized by an abnormal increase of cerebrospinal fluid in the ventricles of the brain,"Meningoencephalocele,hydrocephalus, X-linked,hydrocephalus, nonsyndromic, autosomal recessive"
phenylketonuria,Q194041, , ,, , , , , , , , , , ,270.1, ,C0031485,D010661,C81315,https://en.wikipedia.org/wiki/Phenylketonuria,"amino acid metabolic disorder that is characterized by a mutation in the gene for the hepatic enzyme phenylalanine hydroxylase (PAH), rendering it nonfunctional","Følling's disease,PKU,phenylalaninemia,phenylketonurias"
Hartnup disease,Q200985, , ,, , , , , , , , , , , ,"E72.0,E72.02",C0018609,D006250,C84748,https://en.wikipedia.org/wiki/Hartnup_disease,Human disease,"Aminoaciduria, Hartnup type,HARTNUP DISORDER, HND,HND,Hartnup Disease,Hartnup disorder,Neutral 1 amino acid transport defect,Neutral 1 amino acid transport defect (disorder),deficiency of tryptophan oxygenase,neutral amino acid transport defect"
ciliopathy,Q203031, , ,, , , , , , , , , , , , , ,D000072661, ,https://en.wikipedia.org/wiki/Ciliopathy,"genetic disease associated with mutations encoding defective proteins, which result in either abnormal function formation or function of cilia",ciliopathies
visceral heterotaxy,Q203115, , ,, , , , , , , , , , , ,Q89.3,"C0266642,C1167664,C1415817,C1854334,C3178806",D059446,C87083, ,rare disease,"HETEROTAXY, VISCERAL, 2, AUTOSOMAL,HETEROTAXY, VISCERAL, 2, AUTOSOMAL, HTX2,HTX2,Heterotaxy Syndrome,Htx,Incomplete situs inversus,Partial situs inversus,Situs ambiguous,Transposition of the Great Arteries, Dextro-Looped 2, DTGA2,heterotaxia,situs ambiguus"
pneumothorax,Q203601,"chest pain,dry cough,dyspnea","Q188008,Q693058,Q97464125","Type I Pleuropulmonary Blastoma,Type II Pleuropulmonary Blastoma,Type III Pleuropulmonary Blastoma",talc,Q134583, , , , , , ,"chest radiograph,computed tomography,medical ultrasonography","Q1283318,Q234904,Q32566",512.8,J93.1,"C0029850,C0032326",D011030,C38006,https://en.wikipedia.org/wiki/Pneumothorax,abnormal collection of air in the pleural space that causes an uncoupling of the lung from the chest wall,Pneumothorax
Guillain–Barré Syndrome,Q205214,ascending paralysis,Q21756893,, , , , , , , , , , , ,G61.0,C0018378,D020275,C116345,https://en.wikipedia.org/wiki/Guillain%E2%80%93Barr%C3%A9_syndrome,autoimmune disease that causes the immune system to attack part of the peripheral nervous system,"GBS,Guillain-BarrC)-Strohl syndrome,Guillain-Barre syndrome,Guillain-Barre syndrome (disorder),Guillain-Barré,Guillain-Barré syndrome,Guillain-Barré-Strohl syndrome,Guillain-Barré-Strohl-Syndrome,Infectious neuronitis,Infectious neuronitis (disorder),Landry-Guillain-Barré-Strohl-Syndrome,Post-infectious polyneuritis,Post-infectious polyneuritis (disorder),Postinfectious polyneuritis,acute Infective Polyneuritis,acute inf. polyneuritis,acute infective polyneuritis,acute infective polyneuritis (disorder),acute infective polyneuritis NOS (disorder),acute postinfectious polyneuropathy"
amyotrophic lateral sclerosis,Q206901, , ,,"edaravone,riluzole","Q335099,Q415744", , , , , , ,Awaji Criteria,Q108525727,335.20,"G12.2,G12.21",C0002736,D000690,C34373,https://en.wikipedia.org/wiki/Amyotrophic_lateral_sclerosis,neurodegenerative disease characterized by progressive muscular paralysis,"ALS,Amyotrophic lateral sclerosis,Charcot disease,Lou Gehrig disease,Lou Gehrig's disease,motor neuron disease, bulbar,motor neurone disease"
Marfan syndrome,Q208562,"Ectopia lentis,aortic aneurysm,aortic dissection,dolichostenomelia,flat feet problems,mitral valve prolapse,pectus carinatum,pectus excavatum,scoliosis","Q164218,Q174857,Q1827028,Q431168,Q5289085,Q594660,Q616003,Q653200,Q735652",, , , , , , , , , , ,759.82,"Q87.4,Q87.40",C0024796,D008382,C34807,https://en.wikipedia.org/wiki/Marfan_syndrome,genetic disorder of the connective tissue,"MFS,Marfan's syndrome"
progeria,Q213098, , ,, , , , , , , , , , ,259.8,E34.8,"C0033300,C2750285",D011371,C34951,https://en.wikipedia.org/wiki/Progeria,genetic disorder that causes early aging,"HGPS,HUTCHINSON-GILFORD PROGERIA SYNDROME, HGPS,Hutchinson Gilford progeria syndrome,Hutchinson Gilford syndrome,Hutchinson-Gilford Progeria Syndrome,Hutchinson-Gilford disease,Premature Senility Syndrome,Progeria,Progeria (disorder),Progeria Syndrome, Childhood-Onset,Progeria syndrome,Progeria syndrome (disorder) [Ambiguous]"
diabetes insipidus,Q220551, , ,,"arginine vasopressin,desmopressin","Q183011,Q241006",diabetes,Q12206, , , , , , ,253.5,E23.2,C0011848,D003919,C43263,https://en.wikipedia.org/wiki/Diabetes_insipidus,"human disease, a condition characterized by large amounts of dilute urine and increased thirst",DI
fragile X syndrome,Q221472, , ,, , , , , , , , , , ,759.83,Q99.2,C0016667,D005600,C84717,https://en.wikipedia.org/wiki/Fragile_X_syndrome,congenital disorder of nervous system,"Fragile X chromosome,Fragile X mental retardation syndrome,Marker X syndrome,Martin-Bell syndrome"
cleft lip and cleft palate,Q222634, , ,, , , , , , , , , , , , ,C3810181, , ,https://en.wikipedia.org/wiki/Cleft_lip_and_cleft_palate,congenital disorder of digestive system,"Complete unilateral cleft palate with cleft lip (disorder),Unilateral complete cleft palate with cleft lip,Unilateral complete cleft palate with cleft lip (disorder),Unilateral incomplete cleft palate with cleft lip,Unilateral incomplete cleft palate with cleft lip (disorder),cheilopalatoschisis,cleft lip,cleft palate,cleft palate with cleft lip, unilateral, complete,cleft palate with cleft lip, unilateral, incomplete,incomplete unilateral cleft palate with cleft lip (disorder),obsolete cheilopalatoschisis,orofacial cleft"
precocious puberty,Q224513, , ,,leuprolide,Q907160, , , , , , , , ,259.1,"E22.8,E30.1",C0034013,D011629,C48628,https://en.wikipedia.org/wiki/Precocious_puberty,human disease,"(Sexual precocity NOS) or (puberty - precocious),Familial precocious puberty,Idiopathic sexual precocity,Precocious puberty (disorder),Precocious sexual development (disorder),Precocious true puberty,Premature puberty,Puberty, Precocious,Sexual precocity,Sexual precocity NOS,obsolete precocious puberty"
polycystic liver disease,Q246002,hepatic cyst,Q1811141,Cystic Change, , , , , , , , , , ,751.62, ,C0158683,C536330,C82833,https://en.wikipedia.org/wiki/Polycystic_liver_disease,human disease,"(Congenital cystic liver disease) or (congenital hepatic cyst),Congenital cystic disease of liver,Congenital cystic disease of liver (disorder),Congenital cystic liver disease (disorder),Congenital cystic liver disease NOS (disorder),Fibrocystic disease of liver,Fibrocystic liver disease,congenital cystic liver disease,congenital hepatic cyst"
prune belly syndrome,Q250354, , ,, , , , , , , , , , ,756.71,Q79.4,"C0033770,C0265363",D011535,C85033,https://en.wikipedia.org/wiki/Prune_belly_syndrome,pediatrics cases,"Abdominal Muscles, Absence Of, With Urinary Tract Abnormality and Cryptorchidism,Eagle-Barret syndrome,Eagle-Barrett Syndrome,Obrinsky syndrome,Obrisnksy syndrome,PBS,Syndrome of Agenesis of Abdominal Muscles,Triad syndrome,abdominal muscle deficiency syndrome"
alpha-mannosidosis,Q250449, , ,, , , , , , , , , , ,271.8,E77.1,C0024748,D008363,C84548,https://en.wikipedia.org/wiki/Alpha-mannosidosis,lysosomal storage disease that has material basis in deficiency of the alpha-D-manosidase enzyme resulting in the impairment of cell function from a build up of complex sugars derived from glycoproteins in the lysosome,"Alpha mannosidase B deficiency,Alpha-D-mannosidosis,Alpha-Mannosidase B Deficiency,Alpha-Mannosidosis,Lysosomal Alpha-D-Mannosidase Deficiency,MANNOSIDOSIS, ALPHA B, LYSOSOMAL,MANNOSIDOSIS, ALPHA B, LYSOSOMAL, MANSA,MANSA,Mannosidosis, alpha B lysosomal,alpha-mannosidase deficiency,deficiency of alpha-mannosidase,deficiency of alpha-mannosidase (disorder)"
SADDAN,Q259765, , ,, , , , , , , , , , ,"757.39,783.40",Q77.4,C2674173, , ,https://en.wikipedia.org/wiki/Severe_achondroplasia_with_developmental_delay_and_acanthosis_nigricans,"autosomal dominant disease characterized by severe achondroplasia, developmental delay and acanthosis nigricans that has material basis in heterozygous mutation in the FGFR3 gene on chromosome 4p16","ACHONDROPLASIA, SEVERE, WITH DEVELOPMENTAL DELAY AND ACANTHOSIS NIGRICANS,ACHONDROPLASIA, SEVERE, WITH DEVELOPMENTAL DELAY AND ACANTHOSIS NIGRICANS, SADDAN,SADDAN,SADDAN dysplasia,Severe Achondroplasia with Developmental Delay and Acanthosis Nigricans,severe achondroplasia with developmental delay and acanthosis nigricans"
Pemphigus foliaceus,Q263609, , ,, , , , , , , , , , , ,L10.2,C0263313, , ,https://en.wikipedia.org/wiki/Pemphigus_foliaceus,autoimmune blistering disease,PF
autosomal recessive congenital ichthyosis,Q266421, , ,Cutaneous Involvement, , , , , , , , , , , ,Q80.4,"C0239849,C0598226", ,C98934,https://en.wikipedia.org/wiki/Harlequin-type_ichthyosis,congenital skin disease,"'Harlequin Fetus',ARCI4B,HI,ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 4B,ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 4B, ARCI4B,Ichthyosis Congenita, Harlequin Fetus Type,Ichthyosis congenita, Harlequin type,Ichthyosis fetalis, Harlequin type,Ichthyosis, Congenital, Autosomal Recessive type 4B,autosomal recessive congenital ichthyosis 4B,autosomal recessive congenital ichthyosis type 4B,harlequin ichthyosis,harlequin type ichthyosis congenita,harlequin type ichthyosis fetalis"
