diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh
spondyloepimetaphyseal dysplasia-hypotrichosis syndrome, , , , , , , ,Q77.7,C1866728,C535783
"spondyloepiphyseal dysplasia, Maroteaux type", , , , , , , ,Q77.7,C3159322, 
"spondylometaphyseal dysplasia, 'corner fracture' type", , , , , , , ,Q77.8,C0432221,C535793
distal symphalangism, , , , , , , ,Q70.9,C1861401,C566099
syndactyly-polydactyly-ear lobe syndrome, , , , , , , , ,C1861347,C566091
thoracolaryngopelvic dysplasia, , , , , , , ,Q77.2,"C1861196,C1861197",C536517
thumb stiffness-brachydactyly-intellectual disability syndrome, , , , , , , ,Q87.2,"C1861166,C2931515",C537511
triphalangeal thumbs-brachyectrodactyly syndrome, , , , , , , ,Q74.8,"C1860804,C2930940","C535585,C536564"
ulna metaphyseal dysplasia syndrome, , , , , , , ,Q78.5,C1860615,C536935
ventricular extrasystoles with syncopal episodes-perodactyly-robin sequence syndrome, , , , , , , ,Q87.8,"C1860471,C2931232",C537497
"acrofacial dysostosis, Weyers type", , , , , , ,520.8,Q75.4,C0457013,C536695
Pseudoprogeria syndrome, , , , , , , ,Q87.8,C0796125,C563111
Goodman syndrome, , , , , , , ,Q87.0,C0265303,C537287
PAGOD syndrome, , , , , , , ,Q87.8,C1859967,C537018
alar cartilages hypoplasia-coloboma-telecanthus syndrome, , , , , , , ,Q75.8,C1859964,C535967
microcephaly-albinism-digital anomalies syndrome, , , , , , , ,Q87.8,C1859910,C537322
arthrogryposis multiplex congenita-whistling face syndrome, , , , , , , ,Q87.8,C1859711,C538401
atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome, , , , , , , , ,"C1859596,C2931125", 
Cooper-Jabs syndrome, , , , , , , ,Q87.8,C1859591,C565923
"bird headed-dwarfism, Montreal type", , , , , , , ,Q87.1,C1859468,C535448
"bone dysplasia, lethal Holmgren type", , , , , , , ,Q77.8,C1859407,C565896
congenital bowing of long bones, , , , , , , ,"Q68.3,Q68.4,Q68.5,Q68.8","C1096546,C1859394", 
Branchioskeletogenital syndrome,ptosis, , , , , , ,Q87.8,"C0809936,C1859384",C537084
acid-labile subunit deficiency, , , , , , , ,E34.3,C3900122, 
hereditary persistence of alpha-fetoprotein, , , , , , , , ,C1863080, 
autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency, , , , , , , ,D84.8,C4014863, 
"intellectual disability, autosomal recessive 45", , , , , , , , ,C4014864, 
LIPE-related familial partial lipodystrophy, , , , , , , ,E88.1,C4014869, 
Fanconi renotubular syndrome 4 with Maturity-onset diabetes of the young, , , , , , , , ,C4014962, 
periodic fever-infantile enterocolitis-autoinflammatory syndrome, , , , , , , ,E85.0,C4015067, 
"inflammatory skin and bowel disease, neonatal, 2", , , , , , , , ,C4015130, 
"microcephaly 12, primary, autosomal recessive", , , , , , , , ,C4015156, 
immunodeficiency 37, , , , , , , , ,C4015195, 
autoimmune lymphoproliferative syndrome due to CTLA4 haploinsuffiency, , , , , , , ,D47.9,C4015214, 
polyendocrine-polyneuropathy syndrome, , , , , , , , ,C4015261, 
atrial conduction disease, , , , , , , ,I45.8,C4015285,D000075224
mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency, , , , , , , ,D84.8,C4015293, 
"46,XX ovarian dysgenesis-short stature syndrome", , , , , , , ,Q96.8,C4015409, 
"intellectual disability, autosomal recessive 47", , , , , , , , ,C4015444, 
autosomal dominant mitochondrial myopathy with exercise intolerance, , , , , , , ,G71.3,C4015513, 
progressive myoclonic epilepsy type 8, , , , , , , ,G40.3,C4015619, 
short stature with nonspecific skeletal abnormalities, , , , , , , , ,C4225399, 
Tenorio syndrome, , , , , , , , ,C4015710, 
"congenital contractures of the limbs and face, hypotonia, and developmental delay", , , , , , , , ,C4225398, 
neonatal encephalomyopathy-cardiomyopathy-respiratory distress syndrome, , , , , , , , ,C4225392, 
Lipoyl transferase 1 deficiency, , , , , , , ,E88.8,C4225379, 
lissencephaly 7 with cerebellar hypoplasia, , , , , , , , ,C4225359, 
immunodeficiency 39, , , , , , , , ,C4225358, 
cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome, , , , , , , ,Q87.8,C4085597, 
"pulmonary fibrosis and/or bone marrow failure, Telomere-related, 4", , , , , , , , ,C4225347, 
"pulmonary fibrosis and/or bone marrow failure, Telomere-related, 3", , , , , , , , ,C4225346, 
"trichothiodystrophy 3, photosensitive", , , , , , , , ,C4017171, 
isolated focal non-epidermolytic palmoplantar keratoderma, , , , , , , , ,C4225339, 
combined oxidative phosphorylation defect type 25, , , , , , , ,E88.8,C4225329, 
congenital cataract-microcephaly-nevus flammeus simplex-severe intellectual disability syndrome, , , , , , , , ,C4225323, 
"progressive external ophthalmoplegia with mitochondrial Dna deletions, autosomal recessive 2", , , , , , , , ,C4225312, 
epidermolysis bullosa simplex with nail dystrophy, , , , , , , , ,C4225309, 
lethal congenital contracture syndrome 9, , , , , , , , ,C4225303, 
combined oxidative phosphorylation defect type 26, , , , , , , , ,C4225290, 
"short stature, microcephaly, and endocrine dysfunction", , , , , , , , ,C4225288, 
microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome, , , , , , , , ,C4225276, 
"spondyloepiphyseal dysplasia, Stanescu type", , , , , , , ,Q77.7,C4225273, 
Senior-Loken syndrome 9; SLSN9, , , , , , , , ,C4225263, 
progressive microcephaly-seizures-cortical blindness-developmental delay syndrome, , , , , , , , ,C4225261, 
macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome, , , , , , , , ,C4225259, 
"epileptic encephalopathy, early infantile, 34; EIEE34", , , , , , , , ,C4225257, 
combined oxidative phosphorylation defect type 27, , , , , , , , ,C4225251, 
"microcephaly 16, primary, autosomal recessive; MCPH16", , , , , , , , ,C4225249, 
dehydrated hereditary stomatocytosis 2, , , , , , , , ,C4225242, 
familial progressive retinal dystrophy-iris coloboma-congenital cataract syndrome, , , , , , , , ,C4225233, 
"tooth agenesis, selective, 7; STHAG7", , , , , , , , ,C4225231, 
"nephrotic syndrome, type 11", , , , , , , , ,C4225228, 
"coenzyme Q10 deficiency, primary, 8; COQ10D8", , , , , , , , ,C4225226, 
macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome, , , , , , , , ,C4225222, 
TFRC-related combined immunodeficiency, , , , , , , , ,C4225219, 
congenital nephrotic syndrome-interstitial lung disease-epidermolysis bullosa syndrome, , , , , , , , ,C3553636, 
short stature-optic atrophy-Pelger-HuC+t anomaly syndrome, , , , , , , ,Q87.1,C3541319, 
"microcephaly 9, primary, autosomal recessive", , , , , , , , ,C3553886, 
sinoatrial node dysfunction and deafness, , , , , , , , ,C3554018, 
ECTD5, , , , , , , , ,C3554108, 
"microcephalic primordial dwarfism, Alazami type", , , , , , , ,Q87.1,C3554439, 
dysmorphism-conductive hearing loss-heart defect syndrome, , , , , , , ,Q87.8,C3554774, 
facial dysmorphism-immunodeficiency-livedo-short stature syndrome, , , , , , , ,Q87.1,C3554576, 
mitochondrial DNA deletion syndrome with progressive myopathy, , , , , , , ,G71.3,C3554599, 
syndactyly-camptodactyly and clinodactyly of fifth fingers-bifid toes syndrome, , , , , , , ,Q87.2,C3554611, 
fetal akinesia-cerebral and retinal hemorrhage syndrome, , , , , , , ,G71.2,C3809272, 
microcornea-myopic chorioretinal atrophy-telecanthus syndrome, , , , , , , ,Q15.8,C3809567, 
"craniosynostosis 5, susceptibility to", , , , , , , , ,C3809819, 
autism spectrum disorder-epilepsy-arthrogryposis syndrome, , , , , , , ,Q87.8,C3809910, 
renal hypodysplasia/aplasia 2, , , , , , , , ,C3810359, 
postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome, , , , , , , ,Q87.8,C4014479, 
early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome, , , , , , , ,G40.4,C4014492, 
tall stature-scoliosis-macrodactyly of the great toes syndrome, , , , , , , , ,C4014690, 
ataxia-intellectual disability-oculomotor apraxia-cerebellar cysts syndrome, , , , , , , ,G11.1,C4014821, 
Fanconi renotubular syndrome 4 with Maturity-onset diabetes of the young, , , , , , , , ,C4014962, 
"microcephaly 12, primary, autosomal recessive", , , , , , , , ,C4015156, 
progeroid features-hepatocellular carcinoma predisposition syndrome, , , , , , , , ,C4015461, 
autosomal dominant mitochondrial myopathy with exercise intolerance, , , , , , , ,G71.3,C4015513, 
motor developmental delay due to 14q32.2 paternally expressed gene defect, , , , ,maternal uniparental disomy of chromosome 14, , , ,C4015558, 
lethal congenital contracture syndrome 6, , , , , , , , ,C4015686, 
infantile multisystem neurologic-endocrine-pancreatic disease, , , , , , , , ,C4015728, 
"congenital contractures of the limbs and face, hypotonia, and developmental delay", , , , , , , , ,C4225398, 
lethal congenital contracture syndrome 7, , , , , , , , ,C4225386, 
Lipoyl transferase 1 deficiency, , , , , , , ,E88.8,C4225379, 
cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome, , , , , , , ,Q87.8,C4085597, 
"trichothiodystrophy 3, photosensitive", , , , , , , , ,C4017171, 
combined oxidative phosphorylation defect type 25, , , , , , , ,E88.8,C4225329, 
lethal congenital contracture syndrome 9, , , , , , , , ,C4225303, 
Klippel-Feil anomaly-myopathy-facial dysmorphism syndrome, , , , , , , ,Q76.1,C4225285, 
neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome due to a point mutation, , , , , , , , ,C4225274, 
Adams-Oliver syndrome 6, , , , , , , , ,C4225271, 
14q32 duplication syndrome, , , , , , , , ,C4225449, 
macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome, , , , , , , , ,C4225259, 
PMP22-RAI1 contiguous gene duplication syndrome, , , , , , , , ,C4225255, 
"microcephaly 16, primary, autosomal recessive; MCPH16", , , , , , , , ,C4225249, 
SLC39A8-CDG, , , , , , , , ,C4225234, 
progressive spondyloepimetaphyseal dysplasia-short stature-short fourth metatarsals-intellectual disability syndrome, , , , , , , , ,C4225232, 
"coenzyme Q10 deficiency, primary, 8; COQ10D8", , , , , , , , ,C4225226, 
macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome, , , , , , , , ,C4225222, 
orofacial cleft 15; OFC15, , , , , , , , ,C4225209, 
neonatal severe cardiopulmonary failure due to mitochondrial methylation defect, , , , , , , , ,C4225206, 
combined oxidative phosphorylation deficiency 29, , , , , , , , ,C4225200, 
"microcephaly, short stature, and impaired glucose metabolism 2; MSSGM2", , , , , , , , ,C4225195, 
microcephaly-congenital cataract-psoriasiform dermatitis syndrome, , , , , , , , ,C4225189, 
Cowden syndrome 7, , , , , , , , ,C4225179, 
split-foot malformation-mesoaxial polydactyly syndrome, , , , , , , , ,C4225167, 
complex lethal osteochondrodysplasia, , , , , , , ,Q78.8,C4225162, 
craniofacial dysplasia-short stature-ectodermal anomalies-intellectual disability syndrome, , , , , , , , ,C4310801, 
hereditary pediatric Behçet-like disease, , , , , , , , ,C4225218, 
leukodystrophy and acquired microcephaly with or without dystonia;, , , , , , , , ,C4225213, 
orofacial cleft 15; OFC15, , , , , , , , ,C4225209, 
cardiac anomalies-developmental delay-facial dysmorphism syndrome, , , , , , , ,Q87.8,C4225208, 
neonatal severe cardiopulmonary failure due to mitochondrial methylation defect, , , , , , , , ,C4225206, 
Lamb-Shaffer syndrome, , , , , , , , ,C4225202, 
hyperphosphatasia with mental retardation syndrome 6; HPMRS6, , , , , , , , ,C4225201, 
combined oxidative phosphorylation deficiency 29, , , , , , , , ,C4225200, 
preimplantation embryonic lethality 1; PREMBL1, , , , , , , , ,C4225197, 
severe hypotonia-psychomotor developmental delay-strabismus-cardiac septal defect syndrome, , , , , , , , ,C4225196, 
"microcephaly, short stature, and impaired glucose metabolism 2; MSSGM2", , , , , , , , ,C4225195, 
severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome, , , , , , , , ,C4225193, 
paget disease of bone 6, , , , , , , , ,C4085250, 
Meier-Gorlin syndrome 6, , , , , , , , ,C4225188, 
"lymphedema, hereditary, type III", , , , , , , , ,C4225184, 
even-plus syndrome, , , , , , , , ,C4225180, 
pancytopenia due to IKZF1 mutations, , , , , , , ,D81.8,C4225173, 
"metabolic encephalomyopathic Crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration; MECRCN", , , , , , , , ,C4225171, 
split-foot malformation-mesoaxial polydactyly syndrome, , , , , , , , ,C4225167, 
"nephrotic syndrome, type 12", , , , , , , , ,C4225166, 
mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type); MTDPS14, , , , , , , , ,C4225163, 
craniofacial dysplasia-short stature-ectodermal anomalies-intellectual disability syndrome, , , , , , , , ,C4310801, 
heart and brain malformation syndrome; HBMS, , , , , , , , ,C4310793, 
hereditary thrombocytopenia with early-onset myelofibrosis, , , , , , , , ,C4310789, 
"chorea, childhood-onset, with psychomotor retardation", , , , , , , , ,C4310787, 
"trichothiodystrophy 6, nonphotosensitive", , , , , , , , ,C4310785, 
premature ovarian failure 12; POF12, , , , , , , , ,C4310782, 
spermatogenic failure 15; SPGF15, , , , , , , , ,C4310779, 
retinitis pigmentosa and Erythrocytic Microcytosis; RPEM, , , , , , , , ,C4310776, 
combined oxidative phosphorylation defect type 30, , , , , , , , ,C4310773, 
"epileptic encephalopathy, early infantile, 37; EIEE37", , , , , , , , ,C4310770, 
"macrocephaly, dysmorphic facies, and psychomotor retardation", , , , , , , , ,C4310766, 
"epileptic encephalopathy, early infantile, 38; EIEE38", , , , , , , , ,C4310762, 
NEK9-related lethal skeletal dysplasia, , , , , , , ,Q77.2,C4310760, 
"intellectual disability, autosomal recessive 54; MRT54", , , , , , , , ,C4310755, 
patent ductus arteriosus 2, , , , , , , , ,C4284595, 
transketolase deficiency, , , , , , , , ,C4310751, 
Hermansky-Pudlak syndrome 10; HPS10, , , , , , , , ,C4310746, 
"hyperuricemic nephropathy, familial juvenile 4", , , , , , , , ,C4310741, 
Okur-Chung neurodevelopmental syndrome; OCNDS, , , , , , , , ,C4310739, 
"epileptic encephalopathy, early infantile, 40; EIEE40", , , , , , , , ,C4310737, 
non-cirrhotic portal hypertension, , , , , , , , ,C4310735, 
adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency, , , , , , , ,G71.3,C4310733, 
"seizures, benign familial infantile, 5; BFIS5", , , , , , , , ,C4310728, 
leigh-like basal ganglia disease-optic atrophy-peripheral neuropathy syndrome, , , , , , , , ,C4310726, 
"microcephaly 17, primary, autosomal recessive; MCPH17", , , , , , , , ,C4310723, 
"growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy; GRIDHH", , , , , , , , ,C4310720, 
short-rib thoracic dysplasia 16 with or without polydactyly; SRTD16, , , , , , , , ,C4310718, 
"epileptic encephalopathy, early infantile, 42; EIEE42", , , , , , , , ,C4310716, 
Sessile Serrated polyposis cancer syndrome; SSPCS, , , , , , , , ,C4310714, 
"epilepsy, familial focal, with variable foci 2", , , , , , , , ,C4310709, 
Bardet-Biedl syndrome 20; BBS20, , , , , , , , ,C4310707, 
"intellectual disability, autosomal recessive 56; MRT56", , , , , , , , ,C4310703, 
"epileptic encephalopathy, early infantile, 44; EIEE44", , , , , , , , ,C4310700, 
aniridia type 2, , , , , , , , ,C0344543,C536372
"neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset; NADGP", , , , , , , , ,C4310693, 
"epileptic encephalopathy, early infantile, 45; EIEE45", , , , , , , , ,C4310691, 
short stature-brachydactyly-obesity-global developmental delay syndrome, , , , , , , , ,C4310689, 
Sifrim-Hitz-Weiss syndrome, , , , , , , , ,C4310688, 
"epileptic encephalopathy, early infantile, 46; EIEE46", , , , , , , , ,C4310687, 
"short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay; SRMMD", , , , , , , , ,C4310686, 
"aortic aneurysm, familial thoracic 10", , , , , , , , ,C4284414, 
intellectual disability-epilepsy-extrapyramidal syndrome, , , , , , , , ,C4310683, 
intellectual developmental disorder with cardiac arrhythmia; IDDCA, , , , , , , , ,C4310682, 
Chitayat syndrome; CHYTS, , , , , , , , ,C4310679, 
isolated sedoheptulokinase deficiency, , , , , , ,277.6, ,C1291373, 
"sudden cardiac failure, infantile; SCFI", , , , , , , , ,C4310664, 
lethal left ventricular non-compaction-seizures-hypotonia-cataract-developmental delay syndrome, , , , , , , , ,C4310661, 
preimplantation embryonic lethality 2; PREMBL2, , , , , , , , ,C4310659, 
cone-rod dystrophy and hearing loss; CRDHL, , , , , , , , ,C4310657, 
"myopia 25, autosomal dominant; MYP25", , , , , , , , ,C4310655, 
lissencephaly type 8, , , , , , , , ,CL602176, 
"neurodevelopmental disorder with hypotonia, seizures, and absent language; NDHSAL", , , , , , , , ,C4310643, 
"tooth agenesis, selective, 9; STHAG9", , , , , , , , ,C4310638, 
"atrial fibrillation, familial, 18; ATFB18", , , , , , , , ,C4310636, 
"dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities; DYTOABG", , , , , , , , ,C4310634, 
"dystonia 28, childhood-onset; DYT28", , , , , , , , ,C4310633, 
"spastic paraplegia, intellectual disability, nystagmus, and obesity;", , , , , , , , ,C4284592, 
atypical glycine encephalopathy, , , , , , , ,E72.5,C4310943, 
retinitis pigmentosa 77; RP77, , , , , , , , ,C4310626, 
anterior segment dysgenesis 6, , , , , , , , ,C4310623, 
anterior segment dysgenesis 8, , , , , , , , ,C4310622, 
"ichthyosis, congenital, autosomal recessive 12; ARCI12", , , , , , , , ,C4310621, 
"intellectual disability, autosomal recessive 59; MRT59", , , , , , , , ,C4310619, 
"hypotonia, ataxia, and delayed development syndrome; HADDS", , , , , , , , ,C4310618, 
intellectual developmental disorder with dysmorphic facies and ptosis, , , , , , , , ,C4310617, 
Extraneural perineurioma, , , , , , , , , , 
aniridia-intellectual disability syndrome, , , , , , , , ,C2931243,C536568
congenital microgastria, , , , , , ,750.7,Q40.2,C0266150, 
lymphatic system malformation, , , , , , , , , , 
megacystis-megaureter syndrome, , , , , , , ,Q62.7,C0431752, 
Langerhans cell histiocytosis specific to childhood, , , , , , , , , , 
Langerhans cell histiocytosis specific to adulthood, , , , , , , , , , 
early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation, , , , , , , ,E72.1, , 
autosomal dominant mendelian susceptibility to mycobacterial diseases due to a partial deficiency, , , , , , , , ,CN203955, 
tumor of testis and paratestis, , , , , , , , , ,D013736
X-linked osteoporosis with fractures, , , , , , , ,M80.5, , 
eosinophilic gastrointestinal disease, , , , , , , ,K52.8, , 
COG2-CDG, , , , , , , ,E77.8, , 
euthyroid Graves orbitopathy, , , , , , , ,H05.2, , 
isolated neonatal sclerosing cholangitis, , , , , , , , , , 
UPS18 deficiency, , , , , , , , ,C4479376, 
juvenile sialidosis type 2, , , , , , , ,E77.1, , 
short rib dysplasia, , , , , , ,756.3,Q77.2,C0432195, 
idiopathic inflammatory myopathy, , , , , , ,359.79, ,C0751356, 
genetic macular dystrophy, , , , , , , ,H35.5, , 
parotid gland neoplasm, , , , , , , , ,C0030581,D010307
neoplasm of oropharynx, , , , , , , , ,C0029295,D009959
lipoma of face, , , , , , ,214.0, ,C0153968, 
Ahumada Del Castillo syndrome, , , , , , , , ,C0271556, 
oculo digital syndrome, , , , , , , , , ,C535922
coarse face hypotonia constipation, , , , , , , , , , 
Cohen Lockood Wyborney syndrome, , , , , , , , , , 
Collins Sakati syndrome, , , , , , , , , , 
Crawfurd syndrome, , , , , , , , , , 
TELO2-related intellectual disability-neurodevelopmental disorder, , , , , , , , ,C4310778, 
NEK9-related lethal skeletal dysplasia, , , , , , , ,Q77.2,C4310760, 
transketolase deficiency, , , , , , , , ,C4310751, 
Meier-Gorlin syndrome 7; MGORS7, , , , , , , , ,C4310738, 
adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency, , , , , , , ,G71.3,C4310733, 
"microcephaly 17, primary, autosomal recessive; MCPH17", , , , , , , , ,C4310723, 
"epileptic encephalopathy, early infantile, 41; EIEE41", , , , , , , , ,C4310717, 
Frontometaphyseal dysplasia 2; FMD2, , , , , , , , ,C4310697, 
aniridia type 3, , , , , , , , ,C4310695, 
short stature-brachydactyly-obesity-global developmental delay syndrome, , , , , , , , ,C4310689, 
lethal left ventricular non-compaction-seizures-hypotonia-cataract-developmental delay syndrome, , , , , , , , ,C4310661, 
mucopolysaccharidosis-plus syndrome; MPSPS, , , , , , , , ,C4310627, 
anterior segment dysgenesis 8, , , , , , , , ,C4310622, 
lissencephaly with cerebellar hypoplasia type B, , , , , , , ,Q04.3, , 
lissencephaly with cerebellar hypoplasia type D, , , , , , , ,Q04.3, , 
lissencephaly with cerebellar hypoplasia type F, , , , , , , ,Q04.3, , 
tubular duplication of the esophagus, , , , , , , ,Q39.8, , 
cloverleaf skull-asphyxiating thoracic dysplasia syndrome, , , , , , , ,Q87.5, , 
sub-cortical nodular heterotopia, , , , , , , ,Q04.8, , 
Peters anomaly-cataract syndrome, , , , , , , ,Q13.3,C2931652,C537885
unilateral hemispheric polymicrogyria, , , , , , , ,Q04.3, , 
anomaly of the mitral subvalvular apparatus, , , , , , , ,Q23.8, , 
lissencephaly type 3, , , , , , , ,Q04.3,C1969029, 
multiple congenital anomalies/dysmorphic syndrome-intellectual disability, , , , , , , , , , 
multiple congenital anomalies/dysmorphic syndrome without intellectual disability, , , , , , , , , , 
atresia of urethra, , , , , , , ,Q64.3,"C0345345,C1610065", 
aniridia-intellectual disability syndrome, , , , , , , , ,C2931243,C536568
isolated lissencephaly type 1 without known genetic defects, , , , , , , ,Q04.3, , 
non-syndromic esophageal malformation, , , , , , , , , , 
non-syndromic gastroduodenal malformation, , , , , , , , , , 
non-syndromic intestinal malformation, , , , , , , , , , 
non-syndromic visceral malformation, , , , , , , , , , 
non-syndromic diaphragmatic or abdominal wall malformation, , , , , , , , , , 
non-syndromic developmental defect of the eye, , , , , , , , , , 
non-syndromic central nervous system malformation, , , , , , , , , , 
non-syndromic respiratory or mediastinal malformation, , , , , , , , , , 
syndrome with limb malformations as a major feature, , , , , , , ,Q87.2, , 
anophthalmia-megalocornea-cardiopathy-skeletal anomalies syndrome, , , , , , , ,Q87.8, , 
radial deficiency-tibial hypoplasia syndrome, , , , , , , ,Q73.8, , 
arachnodactyly-abnormal ossification-intellectual disability syndrome, , , , , , , ,Q87.8,C2931398,C537024
aortic arch defects, , , , , , , ,Q25.4,"C3163801,CL936459", 
arthrogryposis-like syndrome, , , , , , ,719.89, ,C1859709, 
ataxia-photosensitivity-short stature syndrome, , , , , , , , , , 
blepharophimosis-radioulnar synostosis syndrome, , , , , , , ,Q87.2,C2931162,C536292
blepharoptosis-cleft palate-ectrodactyly-dental anomalies syndrome, , , , , , , , , , 
camptodactyly-taurinuria syndrome, , , , , , , ,Q68.1,C2931681,C537972
maternally-inherited cardiomyopathy and hearing loss, , , , , , , ,I42.8, , 
intractable diarrhea-choanal atresia-eye anomalies syndrome, , , , , , , ,Q87.8, , 
microcephaly-digital anomalies-intellectual disability syndrome, , , , , , , ,Q87.8, , 
"choanal atresia, bilateral", , , , , , , ,Q30.0, , 
congenital laryngeal palsy, , , , , , , ,J38.0,C0396058, 
Laryngotracheal angioma, , , , , , ,228.09,D18.0, , 
Pierre robin syndrome associated with a chromosomal anomaly, , , , , , , , , , 
Pierre robin syndrome associated with bone disease, , , , , , , , , , 
cataract-intellectual disability-anal atresia-urinary defects syndrome, , , , , , , ,Q87.8,C2931391,C537009
night blindness-skeletal anomalies-dysmorphism syndrome, , , , , , , ,Q87.8,C2931114, 
malformation syndrome with short stature, , , , , , , , , , 
malformation syndrome with skin/mucosae involvement, , , , , , , , , , 
rare developmental defect with connective tissue involvement, , , , , , , , , , 
orofacial clefting syndrome, , , , , , , , , , 
malformation syndrome with odontal and/or periodontal component, , , , , , , , , , 
neuropathy with hearing impairment, , , , , , , ,G60.8, , 
first branchial cleft anomaly, , , , , , , ,Q18.0, , 
fourth branchial cleft anomaly, , , , , , , ,Q18.0, , 
cervical dermoid cyst, , , , , , , ,Q18.8, , 
facial dermoid cyst, , , , , , , ,Q18.8,CL557010, 
lower lip fistula, , , , , , , ,Q38.0, , 
digestive duplication cyst of the tongue, , , , , , , ,Q38.3, , 
supernumerary nostril, , , , , , , ,Q30.8,C4021372, 
congenital laryngeal cyst, , , , , , , ,Q31.8,C0339880, 
nasal dorsum fistula/cyst, , , , , , , ,Q18.8, , 
median cleft of the upper lip and maxilla, , , , , , , ,Q18.8, , 
oblique facial cleft, , , , , , , ,Q18.8, , 
Tessier number 6 facial cleft, , , , , , , ,Q18.8, , 
lateral facial cleft, , , , , , , ,Q18.8, , 
orofaciodigital syndrome type 12, , , , , , , ,Q87.0,C2932679,C548034
"lethal chondrodysplasia, Moerman type", , , , , , , ,Q77.8, , 
choroidal atrophy-alopecia syndrome, , , , , , , , ,C2931026,C535810
ring chromosome 1, , , , , , , ,Q93.2,"C0265395,C1519099",C535361
ring chromosome 12, , , , , , , ,Q93.2,C0795843,C538298
ring chromosome 19, , , , , , , ,Q93.2,C2931812,C538310
ring chromosome 22, , , , , , , ,Q93.2,"C0265492,C2931325",C536795
ring chromosome 6, , , , , , , ,Q93.2,"C0795814,C2931604",C537763
chromosome 8-derived supernumerary ring/marker, , , , , , , ,Q93.2,C2931633,C537824
corpus callosum agenesis-double urinary collecting system syndrome, , , , , , , , ,C2930897,C535427
thin ribs-tubular bones-dysmorphism syndrome, , , , , , , ,Q87.5,C2931543,C537595
craniofrontonasal dysplasia-Poland anomaly syndrome, , , , , , , ,Q87.8, , 
cryptorchidism-arachnodactyly-intellectual disability syndrome, , , , , , , ,Q87.8, , 
rare head and neck malformation, , , , , , , , , , 
paramedian facial cleft, , , , , , , ,Q18.8, , 
coloboma of superior eyelid, , , , , , , ,Q10.3, , 
otomandibular dysplasia, , , , , , , , , , 
oromandibular-limb anomalies syndrome, , , , , , , , , , 
syndrome or malformation associated with head and neck malformations, , , , , , , , , , 
nose and cavum anomaly, , , , , , , ,"Q30.0,Q30.1,Q30.2,Q30.3,Q30.8,Q30.9", , 
tracheal anomaly, , , , , , , , ,C0265764, 
Symbrachydactyly of hands and feet, , , , , , , ,Q73.8,C2931719,C538062
acral dystrophic epidermolysis bullosa, , , , , , , ,Q81.2, , 
distal monosomy 17q, , , , , , , ,Q93.5, , 
2q24 microdeletion syndrome, , , , , , , ,Q93.5,C2931816,C538316
isolated congenital nasal pyriform aperture stenosis, , , , , , , ,Q30.8, , 
congenital nasal pyriform aperture stenosis with holoprosencephaly, , , , , , , ,Q30.8, , 
deletion 5q35, , , , , , , ,Q93.5, ,C537647
"developmental delay-deafness syndrome, Hildebrand type", , , , , , , , , , 
distal monosomy 9p, , , , , , , ,Q93.5, , 
non-syndromic urogenital tract malformation, , , , , , , , , , 
diazoxide-sensitive diffuse hyperinsulinism, , , , , , , ,E16.1, , 
FASTKD2-related infantile mitochondrial encephalomyopathy, , , , , , , ,G71.3, , 
familial idiopathic dilatation of the right atrium, , , , , , , ,Q20.8, , 
familial scaphocephaly syndrome, , , , , , , ,Q75.0,C3267076, 
non-distal trisomy 10q, , , , , , , ,Q92.3,C2936831, 
trisomy 12p, , , , , , , ,Q92.3,C0795845,C538299
mosaic trisomy 14, , , , , , , ,Q92.1,"C0795851,C2930917",C535489
mosaic trisomy 15, , , , , , , ,Q92.1,C2931707,C538037
mosaic trisomy 17, , , , , , , ,Q92.1,C1096168, 
intermediate anorectal malformation, , , , , , , ,"Q42.0,Q42.1", , 
