diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh
Toriello-Lacassie-Droste syndrome, , , , , , , , ,C1838329,C563969
autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis, , , , , , , , ,C1838327,C536328
PARC syndrome, , , , , , , ,Q87.8,C1838256,C537174
aphalangy-syndactyly-microcephaly syndrome, , , , , , , ,Q87.2,C1838161,C563942
acrocardiofacial syndrome, , , , , , , ,Q87.8,C1838121,C563936
lethal hemolytic anemia-genital anomalies syndrome, , , , , , , ,D58.8,C1838120,C563935
"spondyloepiphyseal dysplasia, Reardon type", , , , , , , ,Q77.7,C1833603,C563472
nasal dermoid cyst, , , , , , , ,Q18.8,C1833473,C563455
Velo-facial-skeletal syndrome, , , , , , , ,Q87.0,C1833380,C536536
anophthalmia plus syndrome, , , , , , , ,Q87.8,C1833339,C537767
infundibulopelvic stenosis-multicystic kidney syndrome, , , , , , , , ,C1832949,C535528
hydrocephalus-costovertebral dysplasia-sprengel anomaly syndrome, , , , , , , ,Q87.8,"C1832948,C2931197,C3551260",C536461
absent tibia-polydactyly-arachnoid cyst syndrome, , , , , , , , ,"C1832859,C2931368","C536918,C563403"
aplasia cutis-myopia syndrome, , , , , , , ,Q84.8,C1832826,C563394
Ayme-Gripp syndrome, , , , , , , , ,C1832812,C563390
"micromelic dwarfism, Fryns type", , , , , , , ,Q77.8,C1832800,C537556
lissencephaly type 3-metacarpal bone dysplasia syndrome, , , , , , , ,Q04.3,C1832678,C563383
diaphragmatic defect-limb deficiency-skull defect syndrome, , , , , , , ,Q87.8,C1832668,C563380
cleft lip/palate-intestinal malrotation-cardiopathy syndrome, , , , , , , ,Q87.8,"C1832666,C2931750",C538160
skeletal dysplasia-epilepsy-short stature syndrome, , , , , , , ,Q87.5,C0796046,C537625
osteoporosis-oculocutaneous hypopigmentation syndrome, , , , , , , , ,C1832592,C536062
Odontomicronychial dysplasia, , , , , , , , ,C1832473,C537741
porencephaly-cerebellar hypoplasia-internal malformations syndrome, , , , , , , ,Q87.8,C1832472,C536336
"ectodermal dysplasia with natal teeth, Turnpenny type", , , , , , , , ,C1832444,C563347
MMEP syndrome, , , , , , , ,Q87.8,C1832440,C537686
"short stature, Brussels type", , , , , , , ,Q87.1,C1832439,C537121
deafness-epiphyseal dysplasia-short stature syndrome, , , , , , , , ,C1832438,C535928
epilepsy-microcephaly-skeletal dysplasia syndrome, , , , , , , ,Q87.8,"C1832437,C2931579",C537662
Fine-Lubinsky syndrome, , , , , , , ,Q87.8,C0795941,C537933
microcephaly-cardiac defect-lung malsegmentation syndrome, , , , , , , ,Q87.8,"C1832436,C2931129", 
autosomal recessive amelia, , , , , , , ,Q73.0,C1832432,C563338
distal monosomy 10p, , , , , , , ,Q93.5,C1832431,C563337
aprosencephaly cerebellar dysgenesis, , , , , , , ,Q04.3,C1832412,C563331
"hidrotic ectodermal dysplasia, Christianson-Fourie type", , , , , , , ,Q82.8,C1832411,C536180
"rhizomelic dysplasia, Patterson-Lowry type", , , , , , , ,Q78.8,C1832359,C537609
dislocation of the hip-dysmorphism syndrome, , , , , , , ,Q87.2,C1832353,C563315
Oculoauriculofrontonasal syndrome, , , , , , , ,Q87.0,C1832352,C537865
Trichodental syndrome, , , , , , , , ,C0406724,C536551
facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome, , , , , , , ,Q87.0,C1832167,C563293
"multiple epiphyseal dysplasia, Lowry type", , , , , , , ,Q78.8,C1832112,C563291
lung agenesis-heart defect-thumb anomalies syndrome, , , , , , , ,Q87.8,"C0265780,C2930988,C3275954",C535708
spondyloepimetaphyseal dysplasia-abnormal dentition syndrome, , , , , , , ,Q77.7,C1866507, 
"Ehlers-Danlos syndrome, musculocontractural type", , , , , , , ,Q79.6,"C1866294,C2931780",C000600608
colobomatous microphthalmia-obesity-hypogenitalism-intellectual disability syndrome, , , , , , , ,Q87.8,C1866256,C566623
acroosteolysis-keloid-like lesions-premature aging syndrome, , , , , , , ,E34.8,C1866182,C536653
axial spondylometaphyseal dysplasia, , , , , , , ,Q77.8,C1865695,C535795
Pierpont syndrome, , , , , , , , ,C1865644,C566559
Osteocraniostenosis, , , , , , , ,Q78.0,C1865639,C537291
short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome, , , , , , , ,Q87.1,C1865361,C566544
colobomatous macrophthalmia-microcornea syndrome, , , , , , , , ,C1865286, 
Grange syndrome, , , , , , , ,Q87.8,C1865267,C566529
distal monosomy 13q, , , , , , , ,Q93.5,"C1865208,C2930913",C566526
"spondyloepimetaphyseal dysplasia, Shohat type", , , , , , , ,Q77.7,C1865185,C566523
craniomicromelic syndrome, , , , , , , ,Q87.0,C1865184,C566522
mandibulofacial dysostosis-macroblepharon-macrostomia syndrome, , , , , , , ,Q87.0,C1865181,C566520
"spondyloepiphyseal dysplasia, Nishimura type", , , , , , , ,Q77.7,C1865134,C566515
spondyloepimetaphyseal dysplasia with multiple dislocations, , , , , , , ,Q77.7,C1863732,C535784
craniosynostosis with ectopia lentis, , , , , , , , ,C1863678,C566357
situs inversus totalis with cystic dysplasia of kidneys and pancreas, , , , , , , , ,C1863647,C536666
microcephaly with simplified Gyral pattern, , , , , , , , ,C1863516,C566332
brittle bone disorder, , , , , , , , ,C1859069,C565842
dystrophic epidermolysis bullosa pruriginosa, , , , , , ,757.39,Q81.2,C1275114,C563192
"facial paresis, hereditary congenital, 2", , , , , , , , ,C1858717, 
"blepharophimosis-intellectual disability syndrome, Verloes type", , , , , , , , ,C1858538,C565797
"microcephaly 2, primary, autosomal recessive, with or without cortical malformations", , , , , , , , ,C1858535, 
mild spondyloepiphyseal dysplasia due to COL2A1 mutation with early-onset osteoarthritis, , , , , , ,755.63,Q77.7,C1858079, 
Okamoto syndrome, , , , , , , ,Q87.8,C1858043,C565736
wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia, , , , , , , ,Q78.8,C1858032,C565734
familial infantile myoclonic epilepsy, , , , , , , ,G40.3,C0917800, 
Cerebrooculonasal syndrome, , , , , , , ,Q87.0,C1854108,C565313
baby rattle pelvis dysplasia, , , , , , , , ,"C1853911,C2931614","C537794,C565282"
"metaphyseal dysplasia, Braun-Tinschert type", , , , , , , ,Q78.5,C1853825,C565271
Ehlers-Danlos syndrome due to tenascin-X deficiency, , , , , , , ,Q79.6,C1848029,C536193
homozygous 11P15-P14 deletion syndrome, , , , , , , , ,C1847866,C564701
"craniosynostosis syndrome, autosomal recessive", , , , , , , , ,C1847865,C564700
hemifacial myohyperplasia, , , , , , ,744.89,Q67.4,C1847521,C535862
familial digital arthropathy-brachydactyly, , , , , , , ,M06.8,C1847406,C564656
cloverleaf skull-multiple congenital anomalies syndrome, , , , , , , ,Q87.8,C1846671,C564611
Amish lethal microcephaly, , , , , , , ,Q02,C1846648,C538247
anonychia-microcephaly syndrome, , , , , , , ,Q87.8,"C1846617,C2931373",C536948
horizontal gaze palsy with progressive scoliosis, , , , , , ,737.43,H49.4,C1846496,C564593
developmental malformations-deafness-dystonia syndrome, , , , , , , ,Q87.8,C1846331,C537704
spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome, , , , , , , ,Q77.8,C1843706,C535791
curly hair-acral keratoderma-caries syndrome, , , , , , , ,Q82.8,C1843291,C536220
Noonan syndrome-like disorder with loose anagen hair, , , , , , , ,Q87.1,"C1843181,C3501846", 
lipodystrophy-intellectual disability-deafness syndrome, , , , , , , ,Q78.8,C1842465,C564283
cataract-congenital heart disease-neural tube defect syndrome, , , , , , , , ,C1842363,C564271
familial cavitary optic disc anomaly, , , , , , , , ,C1969063, 
early-onset myopathy with fatal cardiomyopathy, , , , , , , ,G71.8,C2673677,C567129
encephalopathy due to prosaposin deficiency,hepatosplenomegaly, , , , , , ,E75.2,C2673635,C567125
autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome, , , , , , ,758.89,I99,C2673195,C567088
"erythrocytosis, familial, 4", , , , , , , , ,C2673187,C567086
Temple-Baraitser syndrome, , , , , , , ,Q87.2,C2678486,C567516
ANE syndrome, , , , , , , , ,C2677535,C567425
epidermolysis bullosa simplex with pyloric atresia, , , , , , , ,Q81.0,C2677349,C567408
pyogenic bacterial infections due to MyD88 deficiency, , , , , , , ,D84.8,C2677092,C567379
bilateral microtia-deafness-cleft palate syndrome, , , , , , , ,Q87.0,"C2676772,C3808166",C567359
primary CD59 deficiency, , , , , , , ,D84.1,C2676767,C567355
"thrombophilia due to protein C deficiency, autosomal recessive", , , , , , , , ,C2676759,C567353
"thrombophilia due to protein S deficiency, autosomal dominant", , , , , , , ,D68.8,C3278211,C567077
"Ehlers-Danlos syndrome, spondylocheirodysplastic type", , , , , , , ,Q79.6,C2676510,C567340
heparin cofactor 2 deficiency, , , , , , ,286.3, ,C0398626,C562865
connective tissue disorder due to lysyl hydroxylase-3 deficiency, , , , , , , , ,C2676285,C567320
congenital prekallikrein deficiency, , , , , , ,286.9,D68.8,C0272339,C562725
"skeletal defects, genital hypoplasia, and mental retardation", , , , , , , , ,C2676231,C567306
ARHI1, , , , , , , , ,C2676230,C567305
pancreatic insufficiency-anemia-hyperostosis syndrome, , , , , , , , ,C2675184,C567195
combined immunodeficiency due to ORAI1 deficiency, , , , , , , ,D81.8,C2748568,C557826
combined immunodeficiency due to STIM1 deficiency, , , , , , , ,D81.8,C2748557,C557827
"spondyloepimetaphyseal dysplasia, aggrecan type", , , , , , , ,Q77.7,C2748544,C567558
glycogen storage disease due to muscle beta-enolase deficiency, , , , , , , ,E74.0,C2752027,C567861
glycogen storage disease due to lactate dehydrogenase M-subunit deficiency, , , , , , ,271.8,E74.0,"C2752022,C2931743",C538133
"lethal polymalformative syndrome, Boissel type", , , , , , , ,Q87.8,C2752001, 
epileptic encephalopathy with global cerebral demyelination, , , , , , , ,G31.8,C2751855,C567847
cystic leukoencephalopathy without megalencephaly, , , , , , , ,E75.2,C2751843,C567845
ARHI2, , , , , , , , ,C2751814,C567834
acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins, , , , , , , ,K72.0,"C2751567,C3278664", 
RIN2 syndrome, , , , , , , ,Q82.8,C2751321,C567770
congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome, , , , , , , ,G71.3,C2751320,C567769
hereditary hypotrichosis with recurrent skin vesicles, , , , , , , , ,C2751292,C567751
hereditary thrombophilia due to congenital histidine-rich (poly-L) glycoprotein deficiency, , , , , , , ,D68.5,"C2751090,C2751091",C567737
polymicrogyria with optic nerve hypoplasia, , , , , , , , ,C2750798,C567715
cirrhosis-dystonia-polycythemia-hypermanganesemia syndrome, , , , , , ,277.89, ,C2750442,C548016
"autosomal recessive spondylometaphyseal dysplasia, Mégarbané type", , , , , , , ,Q77.8,C2750075,C567644
congenital plasminogen activator inhibitor type 1 deficiency, , , , , , , ,D68.8,C2750067,C567640
spondylo-megaepiphyseal-metaphyseal dysplasia, , , , , , , ,Q77.7,C2750066,C567639
syndromic multisystem autoimmune disease due to ICTH deficiency, , , , , , , , ,C3150649, 
Birbeck granule deficiency, , , , , , , , ,C3150657, 
frontonasal dysplasia with alopecia and genital anomaly, , , , , , , ,Q87.0,C3150703, 
frontonasal dysplasia-severe microphthalmia-severe facial clefting syndrome, , , , , , , , ,C3150706, 
Noonan syndrome-like disorder with juvenile myelomonocytic leukemia, , , , , , , ,Q87.1,C3150803, 
ectodermal dysplasia-syndactyly syndrome, , , , , , , ,Q82.8, , 
lymphedema-posterior choanal atresia syndrome, , , , , , , ,Q82.0,C3150875, 
infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly, , , , , , , ,Q04.3,C3150921, 
intellectual disability-severe speech delay-mild dysmorphism syndrome, , , , , , , ,Q87.2,C3150923, 
"intellectual disability, anterior maxillary Protrusion, and strabismus", , , , , , , , ,C3150924, 
THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome, , , , , , , ,Q87.0,C3150939, 
progressive demyelinating neuropathy with bilateral striatal necrosis, , , , , , , , ,C3150973, 
porencephaly-microcephaly-bilateral congenital cataract syndrome, , , , , , , , ,C3151000, 
FADD-related immunodeficiency, , , , , , , , ,C3151062, 
immunodeficiency due to MASP-2 deficiency, , , , , , , ,D84.1,C3151085,C565360
susceptibility to viral and mycobacterial infections, , , , , , , ,D84.8,C3151088, 
multisystemic smooth muscle dysfunction syndrome, , , , , , , ,I73.8,C3151201, 
Fucosyltransferase 6 deficiency, , , , , , , , ,C3151219, 
immunodeficiency due to ficolin3 deficiency, , , , , , , ,D84.1,C3151226, 
"Hirschsprung disease, cardiac defects, and autonomic dysfunction", , , , , , , , ,C3151237,C563939
"obesity, Hyperphagia, and developmental delay", , , , , , , , ,C3151303,C563938
recurrent Neisseria infections due to factor D deficiency, , , , , , ,279.8,D84.1,"C0398764,C1851396",C565027
ACACAD, , , , , , , , ,C0268603,C562678
Okt4 Epitope deficiency, , , , , , , , ,C3151379, 
"cyanosis, transient neonatal", , , , , , , , ,C3151421, 
Nestor-Guillermo progeria syndrome, , , , , , , ,E34.8,C3151446, 
protein Z deficiency, , , , , , , , ,C3151465, 
hyperlipidemia due to hepatic triglyceride lipase deficiency, , , , , , , ,E78.4,C3151466, 
Hydroxyacyl glutathione hydrolase deficiency, , , , , , , , ,"C1841858,C3279657",C564215
Heme oxygenase 1 deficiency, , , , , , , , ,C1841651,C564200
alpha-2-Macroglobulin deficiency, , , , , , , , ,"C1863095,C3279661",C566304
acetyl-CoA acetyltransferase-2 deficiency, , , , , , , , ,"C0342735,C1863485",C536005
N-Acetylaspartate deficiency, , , , , , , , ,C3279716, 
"chondrodysplasia with joint dislocations, gPAPP type", , , , , , , , ,C3279757, 
anhaptoglobinemia, , , , , , , , ,"C3279786,C3279787", 
plasma fibronectin deficiency, , , , , , , , ,C2675436, 
developmental delay due to methylmalonate semialdehyde dehydrogenase deficiency, , , , , , , ,E71.1,"C1864150,C3279840",C566402
occipital pachygyria and polymicrogyria, , , , , , , ,Q04.3,C3279875, 
Chitotriosidase deficiency, , , , , , , , ,C3279902, 
glycogen storage disease due to lactate dehydrogenase H-subunit deficiency, , , , , , , ,E74.0,"C1835592,C3279904",C563641
Hyperbiliverdinemia, , , , , , , ,K76.8,C3279964, 
craniosynostosis and dental anomalies, , , , , , , ,Q87.0,C3280073, 
overgrowth-macrocephaly-facial dysmorphism syndrome, , , , , , , ,Q87.3,C3280095, 
craniofacial anomalies and anterior segment dysgenesis syndrome, , , , , , , , ,"C1857964,C3280099", 
familial retinal arterial macroaneurysm, , , , , , , , ,C3280205, 
primary microcephaly-epilepsy-permanent neonatal diabetes syndrome, , , , , , , , ,C3280240, 
microcephaly-capillary malformation syndrome, , , , , , ,759.89,Q87.8,C3280296, 
"arthrogryposis, Perthes disease, and Upward gaze palsy", , , , , , , , ,C3280309, 
combined malonic and methylmalonic acidemia, , , , , , , ,E71.1,C3280314,C580002
platelet-activating factor acetylhydrolase deficiency, , , , , , , , ,"C1866472,C3280315",C566640
Wolfram-like syndrome, , , , , , , ,E13.8,"C1857286,C3280358", 
EDICT syndrome, , , , , , , , ,C3280392, 
cognitive impairment with or without cerebellar ataxia, , , , , , , , ,C3280415, 
BAP1-related tumor predisposition syndrome, , , , , , , , ,C3280492, 
"inflammatory skin and bowel disease, neonatal, 1", , , , , , , , ,C3280501, 
pancreatic triacylglycerol lipase deficiency, , , , , , ,277.89,K90.3,"C0268240,C0268241,C3280527,C3280528,C3280529,C3280530", 
peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome, , , , , , , ,G60.0,C3280556, 
lethal encephalopathy due to mitochondrial and peroxisomal fission defect, , , , , , , ,G31.8,C3280660, 
"microphthalmia, syndromic 11", , , , , , , , ,C3553077, 
lethal occipital encephalocele-skeletal dysplasia syndrome, , , , , , , ,Q87.5,C3280729, 
familial mesial temporal lobe epilepsy with febrile seizures, , , , , , , , ,C3280734, 
congenital ichthyosis-intellectual disability-spastic quadriplegia syndrome, , , , , , , ,Q80.8,C3280856, 
childhood encephalopathy due to thiamine pyrophosphokinase deficiency, , , , , , , , ,C3280866, 
lipoic acid synthetase deficiency, , , , , , , ,E88.8,C3280887, 
transient infantile hypertriglyceridemia and hepatosteatosis, , , , , , , , ,C3280953, 
congenital cataract-hearing loss-severe developmental delay syndrome, , , , , , , , ,C3280965, 
lethal neonatal spasticity-epileptic encephalopathy syndrome, , , , , , , ,G40.4,C3281029, 
"psychomotor retardation, epilepsy, and craniofacial dysmorphism", , , , , , , , ,C3281055, 
"Efavirenz, poor metabolism of", , , , , , , , ,"C3281153,C3281154", 
"Ehlers-Danlos syndrome, kyphoscoliotic and deafness type", , , , , , , ,Q79.6,C3281160, 
"leukoencephalopathy, cerebral calcifications, and cysts", , , , , , , , ,C3281200,C000598644
familial cutaneous telangiectasia and oropharyngeal predisposition cancer syndrome, , , , , , , , ,C3281203, 
CANVAS syndrome, , , , , , , , ,C3281223, 
intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency, , , , , , ,777.1,P76.0,"C0270246,C2939175", 
autosomal dominant aplasia and myelodysplasia, , , , , , , ,D61.0,C3808553, 
brown-Vialetto-van Laere syndrome 2, , , , , , , , ,C3553538, 
mitochondrial pyruvate carrier deficiency, , , , , , , ,E74.4,C3553607, 
"pulmonary fibrosis and/or bone marrow failure, Telomere-related, 2", , , , , , , , ,C3553622, 
congenital nephrotic syndrome-interstitial lung disease-epidermolysis bullosa syndrome, , , , , , , , ,C3553636, 
short stature-optic atrophy-Pelger-HuC+t anomaly syndrome, , , , , , , ,Q87.1,C3541319, 
C3 glomerulonephritis, , , , , , , ,N00.5,"C3553720,C4055342", 
short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome, , , , , , , ,Q87.1,C3542022, 
"microcephaly 9, primary, autosomal recessive", , , , , , , , ,C3553886, 
Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation, , , , , , , , ,C3553961, 
mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency, , , , , , , ,D84.8,C4013948, 
mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency, , , , , , , ,D84.8,C4013949, 
mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency, , , , , , , ,D84.8,C4013950, 
mendelian susceptibility to mycobacterial diseases due to partial IRF8 deficiency, , , , , , , ,D84.8,C3808589, 
sinoatrial node dysfunction and deafness, , , , , , , , ,C3554018, 
familial cortical myoclonus, , , , , , , ,G25.3,C3539916, 
obesity due to congenital leptin deficiency, , , , , , , ,E66.8,C3554224, 
obesity due to leptin receptor gene deficiency, , , , , , , ,E66.8,C3554225, 
epidermolysis bullosa simplex due to exophilin 5 deficiency, , , , , , , ,Q81.0,C3554367, 
familial episodic pain syndrome with predominantly upper body involvement, , , , , , , ,M79.6,C3808667, 
"microcephalic primordial dwarfism, Alazami type", , , , , , , ,Q87.1,C3554439, 
microcephalic primordial dwarfism due to ZNF335 deficiency, , , , , , , ,Q87.1,C3554499, 
facial dysmorphism-immunodeficiency-livedo-short stature syndrome, , , , , , , ,Q87.1,C3554576, 
progressive retinal dystrophy due to retinol transport defect, , , , , , , ,H35.5,C3554593, 
Steel syndrome, , , , , , , ,Q87.5,C3554594, 
mitochondrial DNA deletion syndrome with progressive myopathy, , , , , , , ,G71.3,C3554599, 
severe combined immunodeficiency due to CARD11 deficiency, , , , , , , ,D81.2,C3554686, 
cryptosporidiosis-chronic cholangitis-liver disease syndrome, , , , , , , ,D81.8,C3554687, 
corneal intraepithelial dyskeratosis-palmoplantar hyperkeratosis-laryngeal dyskeratosis syndrome, , , , , , , ,Q82.8,C3808876, 
hypomyelination with brain stem and spinal cord involvement and leg spasticity, , , , , , , ,E75.2,C3809008, 
intellectual disability-strabismus syndrome, , , , , , , ,H50.8,C3809039, 
hypohidrosis-enamel hypoplasia-palmoplantar keratoderma-intellectual disability syndrome, , , , , , , ,Q82.8,C3809160, 
"precocious puberty, central, 2", , , , , , , , ,C3809199, 
fetal akinesia-cerebral and retinal hemorrhage syndrome, , , , , , , ,G71.2,C3809272, 
TCR-alpha-beta-positive T-cell deficiency, , , , , , , ,D84.8,C3809332, 
"microcephaly 11, primary, autosomal recessive", , , , , , , , ,C3809431, 
microcornea-myopic chorioretinal atrophy-telecanthus syndrome, , , , , , , ,Q15.8,C3809567, 
Hartsfield-Bixler-Demyer syndrome, , , , , , , ,Q87.8,C1845146,C564484
combined immunodeficiency due to MALT1 deficiency, , , , , , , ,D81.8,C3809583, 
aldosterone-producing adenoma with seizures and neurological abnormalities, , , , , , , ,E26.0,C3809609, 
severe early-onset pulmonary alveolar proteinosis due to MARS deficiency, , , , , , , ,J84.0,C3809651, 
severe dermatitis-multiple allergies-metabolic wasting syndrome, , , , , , , ,Q82.8,C3809719, 
idiopathic CD4 lymphocytopenia, , , , , , , ,D72.8,C3809768, 
testicular anomalies with or without congenital heart disease, , , , , , , , ,C3809858, 
"episodic pain syndrome, familial, 2", , , , , , , , ,C3809893, 
familial episodic pain syndrome with predominantly lower limb involvement, , , , , , , ,M79.6,C3809899, 
autism spectrum disorder-epilepsy-arthrogryposis syndrome, , , , , , , ,Q87.8,C3809910, 
multiple fibroadenoma of the breast, , , , , , , ,D24,C3809918, 
complement factor B  deficiency, , , , , , , , ,C3809950, 
congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome, , , , , , , ,E72.8,C3809971, 
Rienhoff syndrome, , , , , , , , ,C3810012, 
Verheij syndrome, , , , , , , , ,C3810023, 
severe combined immunodeficiency due to IKK2 deficiency, , , , , , , ,D81.2,C3810043, 
combined immunodeficiency due to OX40 deficiency, , , , , , , ,D81.8,C3810053, 
"palmoplantar keratoderma, Nagashima type", , , , , , , ,Q82.8,C3810072, 
L-ferritin deficiency, , , , , , , , ,C3810090, 
leukoencephalopathy with mild cerebellar ataxia and white matter edema, , , , , , , ,E75.2,C3810242, 
proximal myopathy with extrapyramidal signs, , , , , , , ,G71.3,C3810285, 
obesity due to CEP19 deficiency, , , , , , , ,E66.8,C3810324, 
hereditary sclerosing poikiloderma with tendon and pulmonary involvement, , , , , , , ,Q82.8,"C3810325,CL939923", 
autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity, , , , , , , ,D84.8,C3810342, 
sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome, , , , , , , ,Q87.5,C3810343, 
Mitchell-Riley syndrome, , , , , , , ,Q45.8,C2748662,C567570
pancytopenia-developmental delay syndrome, , , , , , , ,D61.0,C3810350, 
optic atrophy-intellectual disability syndrome, , , , , , , ,H47.2,C3810363, 
Hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency, , , , , , , ,E74.8,C3810404, 
severe combined immunodeficiency due to LCK deficiency, , , , , , , ,D81.1,C4014233, 
diffuse cerebral and cerebellar atrophy-intractable seizures-progressive microcephaly syndrome, , , , , , , ,G98,C4014239, 
female infertility due to zona pellucida defect, , , , , , , ,N97.8,C4014291, 
short stature with microcephaly and distinctive facies, , , , , , , , ,C4014339, 
"epileptic encephalopathy, early infantile, 21", , , , , , , , ,C4014430, 
early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome, , , , , , , ,G40.4,C4014492, 
"epileptic encephalopathy, early infantile, 24", , , , , , , , ,C4014531, 
colobomatous microphthalmia-rhizomelic dysplasia syndrome, , , , , , , ,Q87.5,C4014540, 
"leukoencephalopathy, progressive, with ovarian failure", , , , , , , , ,C4014588, 
polyglucosan body myopathy 1 with or without immunodeficiency, , , , , , , ,E74.0,C4014605, 
severe combined immunodeficiency due to CTPS1 deficiency, , , , , , , ,D81.2,C4014617, 
"epileptic encephalopathy, early infantile, 25", , , , , , , , ,C4014621, 
Webb-Dattani syndrome, , , , , , , , ,C4014708, 
STING-associated vasculopathy with onset in infancy,necrosis, , , , , ,279.8,M35.8,C4014722, 
"Kallikrein, decreased urinary activity of", , , , , , , , ,C1835808,C563653
"spondyloepiphyseal dysplasia, Kimberley type", , , , , , , ,Q77.7,C1842149,C564252
Braddock syndrome, , , , , , , ,Q87.8,C1842082,C564244
craniosynostosis-intracranial calcifications syndrome, , , , , , , ,Q87.0,C1842058,C564241
Larsen-like osseous dysplasia-short stature syndrome, , , , , , , ,Q74.8,C1837884,C563914
intellectual disability-brachydactyly-Pierre robin syndrome, , , , , , , ,Q87.0,C1837564,C563880
"spondyloepimetaphyseal dysplasia, matrilin-3 type", , , , , , , ,Q77.7,C1837481,C563869
"Ehlers-Danlos syndrome, Beasley-Cohen type", , , , , , , , ,C1837462,C536199
sudden infant death-dysgenesis of the testes syndrome, , , , , , , ,G90.8,C1837371, 
spondylometaphyseal dysplasia-cone-rod dystrophy syndrome, , , , , , , ,Q77.8,C1837073, 
BNAR syndrome, , , , , , , ,Q87.8,C2750433,C567672
"spondylometaphyseal dysplasia, A4 type", , , , , , , ,Q77.8,C1836862,C563803
nephrotic syndrome-deafness-pretibial epidermolysis bullosa syndrome, , , , , , , , ,C1836823,C563798
"Czech dysplasia, metatarsal type", , , , , , , ,Q77.7,C1836683,C535766
"progressive external ophthalmoplegia with mitochondrial Dna deletions, autosomal dominant 2", , , , , , , , ,C1836460,C563750
"progressive external ophthalmoplegia with mitochondrial Dna deletions, autosomal dominant 3", , , , , , , , ,C1836439,C563747
Cerebrorenodigital syndrome, , , , , , , ,Q87.8,C1836287,C563731
mesoaxial synostotic syndactyly with phalangeal reduction, , , , , , , ,"Q70.0,Q70.2",C1836206,C563721
14q22q23 microdeletion syndrome, , , , , , , ,Q93.5,C1864825,C535639
7q11.23 microduplication syndrome, , , , , , , ,Q92.3,"C1857844,C3149767",C565723
osteosclerosis-ichthyosis-premature ovarian failure syndrome, , , , , , , , ,C1864942,C536064
"progressive external ophthalmoplegia with mitochondrial Dna deletions, autosomal dominant 4", , , , , , , , ,C1864668,C566437
"heart-hand syndrome, Slovenian type", , , , , , , ,Q87.2,C1857829,C535852
autosomal recessive frontotemporal pachygyria, , , , , , , ,Q04.3,C1853215,C538092
"spondyloepimetaphyseal dysplasia, Genevieve type", , , , , , , ,Q77.7,C1864872,C535785
agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome, , , , , , , ,Q87.0,C1864848,C538055
palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome, , , , , , , ,Q56.0,"C2674504,C3149931",C567165
"deafness with labyrinthine aplasia, microtia, and microdontia", , , , , , ,759.89,Q16.5,"C1853144,C2932664","C548011,C565195"
cardiomyopathy-hypotonia-lactic acidosis syndrome, , , , , , , ,G71.3,C1835845,C563665
deafness-infertility syndrome, , , , , , ,758.39,Q93.5,C1970187,C567010
acyl-CoA dehydrogenase 9 deficiency, , , , , , , ,E71.3,C1970173,C567006
craniofacial dysplasia-osteopenia syndrome, , , , , , , , ,C1970027,C566988
familial cavitary optic disc anomaly, , , , , , , , ,C1969063, 
"spondylometaphyseal dysplasia, East african type", , , , , , , , ,C2673686,C535796
"spondyloepiphyseal dysplasia, Cantu type", , , , , , , ,Q77.7,C2673649,C567128
Temple-Baraitser syndrome, , , , , , , ,Q87.2,C2678486,C567516
microtia-eye coloboma-imperforation of the nasolacrimal duct syndrome, , , , , , , ,Q15.8,C2678482,C567512
"lung fibrosis-immunodeficiency-46,XX gonadal dysgenesis syndrome", , , , , , , ,D82.8,C3150156, 
"camptodactyly syndrome, Guadalajara type 3", , , , , , , , ,C2677809,C567455
"progeroid syndrome, Petty type", , , , , , , ,E34.8,"C2676780,C2931653", 
bilateral microtia-deafness-cleft palate syndrome, , , , , , , ,Q87.0,"C2676772,C3808166",C567359
